time,timemax,Amax,beta0,beta1,beta2,beta3,beta4,beta5,a0,Ls,alpha,C
2012-02-21,2012-02-21 20:40:01.036800,-17.3130,1022.9960,0.9130,61.7330,34.5980,87.5760,86.8760,14.9473,156664.4021,-0.0008,0.5279
2012-02-22,2012-02-22 23:49:01.036800,-27.2450,1022.9710,0.9390,60.6600,42.2040,80.1930,87.8000,22.4618,91869.9445,-0.0009,0.5195
2012-02-23,2012-02-23 23:59:01.036800,-19.7880,1022.8130,0.9790,54.6130,50.8440,70.5200,83.4480,16.0356,107628.6490,-0.0011,0.5094
2012-02-24,2012-02-24 13:13:01.036800,-31.3630,1022.7610,1.0000,45.4440,47.4010,83.0460,70.6310,26.7456,71815.6992,-0.0010,0.5171
2012-02-25,2012-02-25 13:16:01.036800,-33.2500,1022.7480,0.9790,42.1690,43.7440,87.1380,63.5250,28.9492,69867.1722,-0.0009,0.5137
2012-02-26,2012-02-26 13:56:01.036800,-32.5210,1022.7540,0.9870,39.5260,45.2370,92.1390,67.7780,28.2298,86260.5935,-0.0008,0.5136
2012-02-27,2012-02-27 15:19:01.036800,-41.4720,1022.8870,0.9770,50.6290,49.0630,89.8250,84.8350,35.5034,69736.0129,-0.0008,0.5201
2012-02-28,2012-02-28 15:54:01.036800,-34.3530,1022.9840,0.9820,56.2590,47.6830,93.9340,91.8780,29.1472,94917.8005,-0.0007,0.5294
2012-02-29,2012-02-29 15:57:01.036800,-30.4450,1022.9780,0.9990,50.8470,44.5640,105.6430,89.5050,27.6093,139678.3276,-0.0005,0.5397
2012-03-01,2012-03-01 06:00:01.036800,27.9400,1022.8980,0.9150,50.6700,36.6420,94.7890,79.2420,25.7228,109693.8373,-0.0007,0.5247
2012-03-02,2012-03-02 07:16:01.036800,33.2630,1022.9000,0.8540,51.7170,29.2450,88.9610,69.0770,31.5441,71801.6524,-0.0008,0.5196
2012-03-03,2012-03-03 14:40:01.036800,-25.6350,1022.9080,0.8740,49.4220,31.1040,92.0020,69.2440,24.4039,105177.4684,-0.0008,0.5219
2012-03-04,2012-03-04 17:44:01.036800,-33.4170,1022.8710,0.8930,48.6290,33.9730,89.2020,74.5860,30.7475,79140.1850,-0.0008,0.5168
2012-03-05,2012-03-05 22:48:01.036800,25.7740,1022.9270,0.8540,50.5650,29.0710,88.2150,62.3510,24.5452,88039.2750,-0.0009,0.5196
2012-03-06,2012-03-06 22:50:01.036800,35.2540,1023.0170,0.8870,53.6070,29.9490,94.4520,60.9370,34.5517,74363.3646,-0.0008,0.5392
2012-03-07,2012-03-07 00:28:01.036800,27.7740,1022.9970,0.9080,53.4960,35.0080,92.6900,63.2720,25.9973,91942.1222,-0.0008,0.5329
2012-03-08,2012-03-08 11:38:01.036800,18.3630,1022.9960,0.8400,56.0910,32.3720,87.9010,50.2910,17.5513,106508.3514,-0.0010,0.5177
2012-03-09,2012-03-09 05:24:01.036800,-17.0760,1023.0050,0.8210,57.0730,32.0280,87.4040,43.8330,16.6217,105868.8209,-0.0011,0.5133
2012-03-10,2012-03-10 02:51:01.036800,19.8310,1022.9600,0.8120,55.8290,32.4580,85.7620,45.2320,18.9352,88023.7605,-0.0011,0.5056
2012-03-11,2012-03-11 02:52:01.036800,-19.3180,1022.9730,0.8050,56.2220,35.8590,85.6740,46.3470,18.0482,89826.4860,-0.0011,0.4972
2012-03-12,2012-03-12 16:26:01.036800,-23.0350,1023.0410,0.8440,58.1730,49.0180,87.8080,57.9780,20.1584,87847.5620,-0.0010,0.4953
2012-03-13,2012-03-13 17:29:01.036800,-28.1820,1022.9990,0.7790,58.9570,48.0870,73.4110,59.9110,22.7985,57238.6966,-0.0012,0.4651
2012-03-14,2012-03-14 22:45:01.036800,24.0480,1023.0270,0.7480,59.1870,38.4760,70.5680,58.9670,20.5405,59603.3742,-0.0012,0.4630
2012-03-15,2012-03-15 14:32:01.036800,-31.3610,1023.0520,0.7180,63.4930,29.0740,64.6020,54.3920,20.8528,52102.8388,-0.0014,0.4615
2012-03-16,2012-03-16 14:58:01.036800,-36.1950,1023.0870,0.7210,67.1240,27.4550,64.9870,54.1570,23.0809,50891.9840,-0.0013,0.4677
2012-03-17,2012-03-17 05:48:01.036800,-27.9420,1023.1550,0.7140,73.6650,27.8570,68.8260,48.9170,24.3104,56615.8744,-0.0012,0.4747
2012-03-18,2012-03-18 04:41:01.036800,-32.9700,1023.2240,0.7170,78.0300,28.2060,70.0730,45.9140,27.6890,54911.0391,-0.0011,0.4795
2012-03-19,2012-03-19 18:31:01.036800,-28.0290,1023.2180,0.6960,78.0600,25.7210,66.9220,39.9070,24.9769,55814.2387,-0.0011,0.4711
2012-03-20,2012-03-20 04:04:01.036800,18.6930,1023.2870,0.7310,79.0820,26.6400,69.9010,42.6140,17.0516,92783.7979,-0.0011,0.4868
2012-03-21,2012-03-21 23:54:01.036800,19.3250,1023.4550,0.8500,78.6980,34.0820,82.1430,52.1430,17.6078,117776.3150,-0.0010,0.5301
2012-03-22,2012-03-22 07:00:01.036800,-34.9840,1023.5040,0.8800,78.5250,34.7860,83.5740,49.7650,32.2385,65702.9132,-0.0010,0.5410
