time, timemax, Amax, beta0, beta1, beta2, beta3, beta4, beta5
2012-02-22, 2012-02-22T23:27:01.036800000, -25.397, 1022.971, 0.939, 60.660, 42.204, 80.193, 87.800
2012-02-23, 2012-02-23T23:44:01.036800000, -30.065, 1022.813, 0.979, 54.613, 50.844, 70.520, 83.448
2012-02-24, 2012-02-24T23:52:01.036800000, -28.777, 1022.761, 1.000, 45.444, 47.401, 83.046, 70.631
2012-02-25, 2012-02-25T13:44:01.036800000, -36.566, 1022.748, 0.979, 42.169, 43.744, 87.138, 63.525
2012-02-26, 2012-02-26T12:53:01.036800000, -40.574, 1022.754, 0.987, 39.526, 45.237, 92.139, 67.778
2012-02-27, 2012-02-27T00:50:01.036800000, -45.344, 1022.887, 0.977, 50.629, 49.063, 89.825, 84.835
2012-02-28, 2012-02-28T01:20:01.036800000, -45.723, 1022.984, 0.982, 56.259, 47.683, 93.934, 91.878
2012-02-29, 2012-02-29T15:20:01.036800000, -42.458, 1022.978, 0.999, 50.847, 44.564, 105.643, 89.505
2012-03-01, 2012-03-01T01:48:01.036800000, -47.851, 1022.898, 0.915, 50.670, 36.642, 94.789, 79.242
2012-03-02, 2012-03-02T03:12:01.036800000, -41.049, 1022.900, 0.854, 51.717, 29.245, 88.961, 69.077
2012-03-03, 2012-03-03T00:16:01.036800000, 40.807, 1022.908, 0.874, 49.422, 31.104, 92.002, 69.244
2012-03-04, 2012-03-04T03:42:01.036800000, -40.324, 1022.871, 0.893, 48.629, 33.973, 89.202, 74.586
2012-03-05, 2012-03-05T04:50:01.036800000, -25.806, 1022.927, 0.854, 50.565, 29.071, 88.215, 62.351
2012-03-06, 2012-03-06T07:10:01.036800000, -22.328, 1023.017, 0.887, 53.607, 29.949, 94.452, 60.937
2012-03-07, 2012-03-07T23:14:01.036800000, -23.254, 1022.997, 0.908, 53.496, 35.008, 92.690, 63.272
2012-03-08, 2012-03-08T10:36:01.036800000, -26.804, 1022.996, 0.840, 56.091, 32.372, 87.901, 50.291
2012-03-09, 2012-03-09T11:32:01.036800000, -28.167, 1023.005, 0.821, 57.073, 32.028, 87.404, 43.833
2012-03-10, 2012-03-10T18:58:01.036800000, 19.808, 1022.960, 0.812, 55.829, 32.458, 85.762, 45.232
2012-03-11, 2012-03-11T23:52:01.036800000, -24.632, 1022.973, 0.805, 56.222, 35.859, 85.674, 46.347
2012-03-12, 2012-03-12T00:29:01.036800000, -30.888, 1023.041, 0.844, 58.173, 49.018, 87.808, 57.978
2012-03-13, 2012-03-13T17:58:01.036800000, 29.601, 1022.999, 0.779, 58.957, 48.087, 73.411, 59.911
2012-03-14, 2012-03-14T00:50:01.036800000, -23.796, 1023.027, 0.748, 59.187, 38.476, 70.568, 58.967
2012-03-15, 2012-03-15T13:01:01.036800000, -21.227, 1023.052, 0.718, 63.493, 29.074, 64.602, 54.392
2012-03-16, 2012-03-16T07:24:01.036800000, 23.932, 1023.087, 0.721, 67.124, 27.455, 64.987, 54.157
2012-03-17, 2012-03-17T15:39:01.036800000, -42.048, 1023.155, 0.714, 73.665, 27.857, 68.826, 48.917
2012-03-18, 2012-03-18T05:00:01.036800000, -42.214, 1023.224, 0.717, 78.030, 28.206, 70.073, 45.914
2012-03-19, 2012-03-19T18:20:01.036800000, -39.686, 1023.218, 0.696, 78.060, 25.721, 66.922, 39.907
2012-03-20, 2012-03-20T10:04:01.036800000, 21.913, 1023.287, 0.731, 79.082, 26.640, 69.901, 42.614
2012-03-21, 2012-03-21T07:43:01.036800000, 14.992, 1023.455, 0.850, 78.698, 34.082, 82.143, 52.143
2012-03-22, 2012-03-22T10:14:01.036800000, -17.254, 1023.504, 0.880, 78.525, 34.786, 83.574, 49.765
2012-03-23, 2012-03-23T05:24:01.036800000, 18.609, 1023.513, 0.869, 79.046, 32.076, 78.495, 45.613
2012-03-24, 2012-03-24T23:08:01.036800000, -18.824, 1023.463, 0.840, 79.765, 30.450, 73.587, 42.167
2012-03-25, 2012-03-25T14:04:01.036800000, -29.645, 1023.460, 0.858, 81.048, 31.422, 73.987, 41.903
2012-03-26, 2012-03-26T14:32:01.036800000, -29.531, 1023.428, 0.867, 80.810, 35.314, 74.487, 43.740
2012-03-27, 2012-03-27T14:54:01.036800000, -30.406, 1023.379, 0.845, 80.198, 38.054, 71.535, 45.956
2012-03-28, 2012-03-28T14:28:01.036800000, -40.918, 1023.520, 0.916, 83.077, 43.229, 85.905, 62.143
2012-03-29, 2012-03-29T06:36:01.036800000, 31.497, 1023.474, 0.904, 76.279, 46.081, 91.316, 59.592
2012-03-30, 2012-03-30T02:26:01.036800000, -34.665, 1023.492, 0.919, 74.793, 46.088, 97.039, 55.816
2012-03-31, 2012-03-31T21:17:01.036800000, 45.080, 1023.292, 0.858, 66.146, 42.846, 89.976, 55.709
2012-04-01, 2012-04-01T09:26:01.036800000, 30.507, 1023.242, 0.860, 61.597, 39.504, 91.768, 73.325
2012-04-02, 2012-04-02T21:45:01.036800000, 25.188, 1023.116, 0.845, 58.365, 40.497, 75.102, 82.075
2012-04-03, 2012-04-03T02:16:01.036800000, -25.270, 1022.952, 0.796, 49.102, 36.865, 65.403, 57.814
2012-04-04, 2012-04-04T20:52:01.036800000, 22.033, 1023.015, 0.790, 51.573, 31.081, 70.340, 54.694
2012-04-05, 2012-04-05T21:44:01.036800000, -19.024, 1022.996, 0.789, 51.822, 29.284, 70.033, 46.893
2012-04-06, 2012-04-06T10:08:01.036800000, -21.577, 1023.032, 0.829, 54.844, 32.362, 77.317, 54.328
2012-04-07, 2012-04-07T00:01:01.036800000, -19.730, 1023.157, 0.847, 62.958, 33.616, 84.494, 60.712
2012-04-08, 2012-04-08T06:41:01.036800000, 21.910, 1023.120, 0.805, 64.276, 33.455, 78.859, 57.550
2012-04-09, 2012-04-09T19:52:01.036800000, 31.476, 1023.011, 0.789, 54.888, 34.468, 78.345, 53.376
2012-04-10, 2012-04-10T21:39:01.036800000, 33.272, 1023.071, 0.905, 38.957, 40.629, 110.700, 63.156
2012-04-11, 2012-04-11T12:05:01.036800000, -38.138, 1023.219, 0.870, 42.257, 37.983, 116.052, 55.911
2012-04-12, 2012-04-12T11:38:01.036800000, -31.580, 1023.199, 0.841, 48.095, 40.725, 105.540, 67.522
2012-04-13, 2012-04-13T23:12:01.036800000, -29.156, 1023.108, 0.732, 55.177, 29.431, 80.081, 59.082
2012-04-14, 2012-04-14T08:38:01.036800000, 26.031, 1023.221, 0.791, 63.035, 30.392, 87.730, 68.190
2012-04-15, 2012-04-15T23:55:01.036800000, -25.364, 1023.199, 0.789, 68.275, 30.591, 78.674, 72.988
2012-04-16, 2012-04-16T06:00:01.036800000, 32.100, 1023.041, 0.698, 65.774, 25.413, 59.082, 54.710
2012-04-17, 2012-04-17T20:10:01.036800000, 27.085, 1023.118, 0.758, 67.987, 24.382, 67.568, 73.319
2012-04-18, 2012-04-18T06:39:01.036800000, 24.660, 1023.093, 0.744, 64.155, 29.951, 67.069, 70.870
2012-04-19, 2012-04-19T11:48:01.036800000, -17.347, 1023.018, 0.694, 59.178, 29.383, 62.380, 57.940
2012-04-20, 2012-04-20T22:02:01.036800000, -21.226, 1023.014, 0.686, 60.646, 27.923, 60.610, 58.252
2012-04-21, 2012-04-21T17:51:01.036800000, 23.289, 1023.091, 0.725, 63.143, 27.465, 72.942, 72.081
2012-04-22, 2012-04-22T23:43:01.036800000, -33.824, 1023.197, 0.769, 65.094, 29.206, 89.404, 77.401
2012-04-23, 2012-04-23T23:20:01.036800000, -35.336, 1023.290, 0.809, 65.691, 30.940, 101.927, 68.103
