time, timemax, Amax, beta0, beta1, beta2, beta3, beta4, beta5
2016-05-01 00:00:00, 2016-05-01T22:49:00.000000000, -17.517, 1023.464, 1.281, 59.462, 25.583, 83.175, 44.421
2016-05-02 00:00:00, 2016-05-02T17:26:00.000000000, -16.563, 1023.489, 1.281, 59.431, 27.549, 84.906, 47.735
2016-05-03 00:00:00, 2016-05-03T20:50:00.000000000, 19.584, 1023.489, 1.281, 59.800, 26.636, 84.889, 50.688
2016-05-04 00:00:00, 2016-05-04T23:28:00.000000000, 25.726, 1023.505, 1.283, 59.814, 27.861, 86.798, 53.998
2016-05-05 00:00:00, 2016-05-05T18:50:00.000000000, -26.879, 1023.528, 1.282, 60.298, 29.466, 86.836, 56.151
2016-05-06 00:00:00, 2016-05-06T12:55:00.000000000, 30.651, 1023.537, 1.282, 60.145, 32.275, 87.400, 55.806
2016-05-07 00:00:00, 2016-05-07T01:15:00.000000000, 30.756, 1023.537, 1.281, 56.184, 34.278, 90.693, 55.170
2016-05-08 00:00:00, 2016-05-08T14:38:00.000000000, 31.698, 1023.558, 1.281, 55.187, 34.425, 90.125, 55.762
2016-05-09 00:00:00, 2016-05-09T02:06:00.000000000, 29.354, 1023.575, 1.281, 56.611, 36.403, 87.719, 57.950
2016-05-10 00:00:00, 2016-05-10T03:01:00.000000000, 30.999, 1023.580, 1.281, 59.786, 38.957, 86.453, 56.726
2016-05-11 00:00:00, 2016-05-11T02:49:00.000000000, 29.833, 1023.590, 1.282, 66.152, 46.190, 83.440, 56.371
2016-05-12 00:00:00, 2016-05-12T03:31:00.000000000, 32.321, 1023.598, 1.280, 71.938, 52.626, 82.558, 55.105
2016-05-13 00:00:00, 2016-05-13T11:20:00.000000000, -30.345, 1023.591, 1.280, 74.130, 56.686, 80.742, 54.617
2016-05-14 00:00:00, 2016-05-14T00:15:00.000000000, -26.812, 1023.585, 1.281, 71.845, 57.541, 81.470, 52.091
2016-05-15 00:00:00, 2016-05-15T05:14:00.000000000, 22.930, 1023.598, 1.280, 70.536, 59.031, 82.162, 51.884
2016-05-16 00:00:00, 2016-05-16T18:11:00.000000000, 22.019, 1023.586, 1.279, 69.707, 56.400, 83.815, 51.114
2016-05-17 00:00:00, 2016-05-17T13:54:00.000000000, -23.779, 1023.589, 1.280, 69.881, 53.864, 84.199, 51.391
2016-05-18 00:00:00, 2016-05-18T16:43:00.000000000, -20.582, 1023.600, 1.281, 68.967, 51.849, 83.820, 50.788
2016-05-19 00:00:00, 2016-05-19T14:34:00.000000000, -22.410, 1023.597, 1.281, 69.062, 52.924, 82.833, 50.695
2016-05-20 00:00:00, 2016-05-20T22:52:00.000000000, 18.699, 1023.602, 1.280, 68.776, 52.534, 82.755, 48.744
2016-05-21 00:00:00, 2016-05-21T23:22:00.000000000, 19.769, 1023.613, 1.280, 69.641, 53.179, 81.950, 50.264
2016-05-22 00:00:00, 2016-05-22T00:07:00.000000000, 17.799, 1023.615, 1.281, 70.234, 51.397, 81.722, 51.668
2016-05-23 00:00:00, 2016-05-23T03:31:00.000000000, -19.428, 1023.618, 1.281, 68.804, 48.737, 83.255, 51.650
2016-05-24 00:00:00, 2016-05-24T05:24:00.000000000, -16.780, 1023.626, 1.280, 68.073, 45.993, 85.290, 51.279
2016-05-25 00:00:00, 2016-05-25T05:41:00.000000000, -17.404, 1023.617, 1.281, 68.318, 47.052, 83.744, 52.750
2016-05-26 00:00:00, 2016-05-26T05:21:00.000000000, -15.127, 1023.615, 1.280, 68.839, 45.131, 82.929, 51.684
2016-05-27 00:00:00, 2016-05-27T07:04:00.000000000, -17.144, 1023.609, 1.279, 68.871, 43.946, 81.848, 49.995
2016-05-28 00:00:00, 2016-05-28T08:39:00.000000000, -20.302, 1023.594, 1.280, 68.694, 45.245, 80.837, 49.914
